series;sheet;pixel x;pixel y; wgs84 lat;wgs84 lon;place;interpolated lat;interpolated lon;residual meters
TMK;61;4121;2090;50.848819;5.687873;Maastricht;50.842892;5.642607;3245
TMK;51;1213;1237;51.503519;5.307014;Oirschot;51.547399;5.196825;9050
TMK;41;3965;2809;51.926727;6.580846;Aalten;51.927126;6.554467;1809
TMK;48;2406;3925;51.442753;3.574768;Vlissingen;51.443634;3.572856;164
TMK;37;2971;555;52.012597;4.361457;Delft;52.032046;4.183996;12333
TMK;31;4475;2462;52.09101;5.122854;Utrecht;52.179730;4.859829;20483
TMK;25;5139;3338;52.374088;4.892436;Amsterdam;52.373609;4.889481;207
TMK;21;2760;2888;52.511853;6.092773;Zwolle;52.625137;5.927926;16816
TMK;14;4242;2301;52.773155;5.103315;Medemblik;52.772959;5.103593;28
TMK;7;3173;4433;53.216666;6.562291;Groningen;53.217730;6.562010;119
TMK;6;741;4959;53.204921;5.804712;Leeuwarden;53.204678;5.805407;53
Bonne;92;732;1712;53.204921;5.804712;Leeuwarden;53.204992;5.804586;11
Bonne;97;1013;685;53.216666;6.562291;Groningen;53.216397;6.562455;31
Bonne;230;2325;977;52.773155;5.103315;Medemblik;52.772966;5.104307;69
Bonne;304;998;2590;52.511853;6.092773;Zwolle;52.512155;6.092863;34
Bonne;348;292;1296;52.374088;4.892436;Amsterdam;52.374016;4.892574;12
Bonne;445;3033;1410;52.09101;5.122854;Utrecht;52.090796;5.122702;26
Bonne;459;1977;2527;52.012597;4.361457;Delft;52.012821;4.361661;28
Bonne;656;4249;2605;51.442753;3.574768;Vlissingen;51.443320;3.573878;88
Bonne;516;3191;555;51.926727;6.580846;Aalten;51.926365;6.580554;44
Bonne;647;4431;2719;51.503519;5.307014;Oirschot;51.503879;5.306263;65
Bonne;765;2058;1606;50.848819;5.687873;Maastricht;50.848739;5.673089;1037
