sheetnumber, distance0, distance1, distance2, distance3
5a4584a2-e824-4972-8ec1-a73c61e73710.jp2, 17.029386365926403, 23.345235059857504, 391.1278563334501, 409.00122249206055
3ed5eef4-6549-4d2f-b2f4-2eb9d9dc802e.jp2, 224.24317157942625, 4876.323307575083, 5786.374080544741, 3072.9622516392874
72e97ade-83a4-4f8c-a217-4627b985759c.jp2, 171.18703221914913, 210.1547049199708, 163.68567438844488, 93.7709976485267
c482c317-cf42-4241-9692-bfba3a9ac543.jp2, 8.54400374531753, 15.811388300841896, 25.019992006393608, 14.0
8cc76d2a-2dce-446c-be0a-9d75e1ee5e01.jp2, 0.0, 8.94427190999916, 1.4142135623730951, 5.0
2a0d2d73-d7ac-49c6-8058-79f4fac23e55.jp2, 281.46047679914136, 5002.161532777605, 5928.2767310576855, 3199.1331638429806
5bfee1c4-dc5f-4e9c-9dd6-3e3d41b41451.jp2, 10.816653826391969, 6.082762530298219, 4.0, 10.44030650891055
84f5d964-4181-4947-9891-1838e604db0f.jp2, 39.05124837953327, 100.12492197250393, 155.32224567009067, 90.13878188659973
1e5ce292-60de-4f43-9beb-5fa993756128.jp2, 310.3626910567699, 4984.8155432272515, 5916.380650363869, 3222.9143643603065
3d7b92b3-a7c6-4c59-9ba8-7a1a4988c3cc.jp2, 387.02067128255567, 14.7648230602334, 13.341664064126334, 388.0463889794621
8c525345-e566-4796-8f1d-38f7187ce69c.jp2, 21.18962010041709, 152.11837495845134, 187.38729946290383, 109.20164833920778
ab03e43c-367d-41c8-9c70-a766cf170afa.jp2, 224.1628872048181, 4875.186663093014, 5782.844715189921, 3120.951457488565
dd147ce8-444c-4f2f-8d4c-fd95a85c0517.jp2, 293.318939040765, 4971.670242483908, 5905.938875403301, 3203.438465149596
0ce527c8-ddae-4d05-a6e4-51bbee6f55d3.jp2, 9.848857801796104, 11.180339887498949, 15.132745950421556, 2.8284271247461903
5108cb71-a467-484a-adba-2c03f3ab0265.jp2, 28.178005607210743, 160.15305179733542, 189.70766985021982, 106.38138934982942
168e31d0-9c8b-4f91-ba04-29dff5aea8f6.jp2, 15.264337522473747, 131.13733259449805, 157.88920165736477, 83.86298349093002
3c28f382-0100-4d55-a68d-8ec281065c06.jp2, 42.37924020083418, 26.832815729997478, 69.87131027825369, 67.00746227100382
002de85c-eb86-4e0e-add2-5f05929072fe.jp2, 283.5577542582816, 4975.783355412492, 5888.2242654301135, 3189.9047007708555
7043f56a-a342-4988-8dba-5a56369bdeef.jp2, 30.805843601498726, 168.2973558912914, 186.93849255838134, 91.26883367283708
d1b6298e-2cea-4bfe-97d6-3a436e81726a.jp2, 242.0743687382041, 4847.3431898309, 5757.769012386655, 3130.511140373086
e58660fc-fc4e-4da1-80b6-2f9cdebda259.jp2, 46.32493928760188, 192.21082175569617, 241.3503677229434, 154.49595463959565
3a4b5a98-c11d-4a74-91de-94c66fa7ee88.jp2, 168.02678357928536, 4872.09903429723, 5785.771945038968, 3125.0846388538025
8f3c3f6f-5035-4a82-9c51-0ff5565d9170.jp2, 25.495097567963924, 700.559776179021, 668.9693565478168, 40.36087214122113
259cce76-6d9f-4d4a-820f-c23fc38c6ee5.jp2, 354.0353089735542, 173.1040149736568, 166.00301202086666, 369.2289262774519
30f342d1-26d4-4218-97f7-9e0eece7920e.jp2, 536.7056921628464, 386.01683901094265, 377.7009398982216, 538.8320703150472
8219f4aa-b252-47e7-8a43-e79e3c006001.jp2, 26.40075756488817, 150.47923444781344, 175.27692375210148, 96.33275663033837
ab705dbf-d182-49ad-b8b8-e43ccabb5d03.jp2, 5.385164807134504, 11.180339887498949, 17.029386365926403, 7.0710678118654755
e325a9cf-6306-49ca-bab4-7535dedd80a7.jp2, 114.23221962301179, 212.49235280357738, 183.99184764548673, 40.36087214122113
953ecb14-f7cc-40fa-8e7d-6458ba5e94a4.jp2, 7.0710678118654755, 71.56814934033156, 4.0, 78.87331614684399
ce1c0d3b-ea56-4f86-9c84-b3d25802bb39.jp2, 42.2965719651132, 117.15374513859982, 165.8463143998081, 92.41753080449618
7f79b72f-0e1d-4fc0-ab40-e37db8a4844a.jp2, 56.639209034025185, 1078.0250460912307, 1713.6957139469073, 1330.4093355054301
