series;sheet;pixel x;pixel y;wgs84 lat;wgs84 lon;;place
TMK;61;4121;2090;50.848819;5.687873;;Maastricht
TMK;51;1213;1237;51.503519;5.307014;;Oirschot
TMK;41;3965;2809;51.926727;6.580846;;Aalten
TMK;48;2406;3925;51.442753;3.574768;;Vlissingen
TMK;37;2971;555;52.012597;4.361457;;Delft
TMK;31;4475;2462;52.09101;5.122854;;Utrecht
TMK;25;5139;3338;52.374088;4.892436;;Amsterdam
TMK;21;2760;2888;52.511853;6.092773;;Zwolle
TMK;14;4242;2301;52.773155;5.103315;;Medemblik
TMK;7;3173;4433;53.216666;6.562291;;Groningen
TMK;6;741;4959;53.204921;5.804712;;Leeuwarden
Bonne;92;732;1712;53.204921;5.804712;;Leeuwarden
Bonne;97;1013;685;53.216666;6.562291;;Groningen
Bonne;230;2325;977;52.773155;5.103315;;Medemblik
Bonne;304;998;2590;52.511853;6.092773;;Zwolle
Bonne;348;292;1296;52.374088;4.892436;;Amsterdam
Bonne;445;3033;1410;52.09101;5.122854;;Utrecht
Bonne;459;1977;2527;52.012597;4.361457;;Delft
Bonne;656;4249;2605;51.442753;3.574768;;Vlissingen
Bonne;516;3191;555;51.926727;6.580846;;Aalten
Bonne;647;4431;2719;51.503519;5.307014;;Oirschot
Bonne;765;2058;1606;50.848819;5.687873;;Maastricht
veldmin;7.6.5;989;3110;53.204921;5.804712;;Leeuwarden
veldmin;7.21.11;980;4395;52.511853;6.092773;;Zwolle
veldmin;7.25.10;874;1241;52.374088;4.892436;;Amsterdam
veldmin;7.48.6;262;846;51.442753;3.574768;;Vlissingen
veldmin;7.61.1;811;5192;50.848819;5.687873;;Maastricht
