nummers der bladen;aN/Z;aO/W;bN/Z;bO/W;cN/Z;cO/W;dN/Z;dO/W
1;235000;20000;235000;60000;210000;60000;210000;20000
2;235000;60000;235000;100000;210000;100000;210000;60000
3;235000;100000;235000;140000;210000;140000;210000;100000
4;210000;-20000;210000;20000;185000;20000;185000;-20000
5;210000;20000;210000;60000;185000;60000;185000;20000
6;210000;60000;210000;100000;185000;100000;185000;60000
7;210000;100000;210000;140000;185000;140000;185000;100000
8;210000;140000;210000;160000;185000;160000;185000;140000
9;185000;-20000;185000;20000;160000;20000;160000;-20000
10;185000;20000;185000;60000;160000;60000;160000;20000
11;185000;60000;185000;100000;160000;100000;160000;60000
12;185000;100000;185000;140000;160000;140000;160000;100000
13;185000;140000;185000;160000;160000;160000;160000;140000
14;160000;-20000;160000;20000;135000;20000;135000;-20000
15;160000;20000;160000;60000;135000;60000;135000;20000
16;160000;60000;160000;100000;135000;100000;135000;60000
17;160000;100000;160000;140000;135000;140000;135000;100000
18;160000;140000;160000;160000;135000;160000;135000;140000
19;135000;-20000;135000;20000;110000;20000;110000;-20000
20;135000;20000;135000;60000;110000;60000;110000;20000
21;135000;60000;135000;100000;110000;100000;110000;60000
22;135000;100000;135000;140000;110000;140000;110000;100000
23;135000;140000;135000;160000;110000;160000;110000;140000
24;110000;-40000;110000;-20000;85000;-20000;85000;-40000
25;110000;-20000;110000;20000;85000;20000;85000;-20000
26;110000;20000;110000;60000;85000;60000;85000;20000
27;110000;60000;110000;100000;85000;100000;85000;60000
28;110000;100000;110000;140000;85000;140000;85000;100000
29;110000;140000;110000;160000;85000;160000;85000;140000
30;85000;-60000;85000;-20000;60000;-20000;60000;-60000
31;85000;-20000;85000;20000;60000;20000;60000;-20000
32;85000;20000;85000;60000;60000;60000;60000;20000
33;85000;60000;85000;100000;60000;100000;60000;60000
34;85000;100000;85000;140000;60000;140000;60000;100000
35;85000;140000;85000;160000;60000;160000;60000;140000
36;60000;-100000;60000;-60000;35000;-60000;35000;-100000
37;60000;-60000;60000;-20000;35000;-20000;35000;-60000
38;60000;-20000;60000;20000;35000;20000;35000;-20000
39;60000;20000;60000;60000;35000;60000;35000;20000
40;60000;60000;60000;100000;35000;100000;35000;60000
41;60000;100000;60000;140000;35000;140000;35000;100000
42;35000;-100000;35000;-100000;10000;-60000;10000;-100000
43;35000;-60000;35000;-60000;10000;-20000;10000;-60000
44;35000;-20000;35000;20000;10000;20000;10000;-20000
45;35000;20000;35000;60000;10000;60000;10000;20000
46;35000;60000;35000;60000;10000;100000;10000;60000
47;10000;-120000;10000;-100000;-15000;-100000;-15000;-120000
48;10000;-100000;10000;-60000;-15000;-60000;-15000;-100000
49;10000;-60000;10000;-20000;-15000;-20000;-15000;-60000
50;10000;-20000;10000;20000;-15000;20000;-15000;-20000
51;10000;20000;10000;60000;-15000;60000;-15000;20000
52;10000;60000;10000;100000;-15000;100000;-15000;60000
53;-15000;-120000;-15000;-100000;-40000;-100000;-40000;-120000
54;-15000;-100000;-15000;-60000;-40000;-60000;-40000;-100000
55;-15000;-60000;-15000;-20000;-40000;-20000;-40000;-60000
56;-15000;-20000;-15000;20000;-40000;20000;-40000;-20000
57;-15000;20000;-15000;60000;-40000;60000;-40000;20000
58;-15000;60000;-15000;100000;-40000;100000;-40000;60000
59;-40000;20000;-40000;60000;-65000;60000;-65000;20000
60;-40000;60000;-40000;100000;-65000;100000;-65000;60000
61;-65000;20000;-65000;60000;-90000;60000;-90000;20000
62;-65000;60000;-65000;100000;-90000;100000;-90000;60000
